,,"Name (click to view profile)",Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
21,,"Rayhan Suryo","2021-01-02 03:01:07",0,no,no,"Penting buangettt",UC_uHK-nmq8pH7HJ3DFszBNg,UgzVPNwNitaocn_xvZB4AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=UgzVPNwNitaocn_xvZB4AaABAg
22,,"Rama Wafi","2021-01-02 03:04:02",2,no,no,"My dream",UCWvfLEXkhhawyr7djQwh4kw,Ugw5U8aKrkZC1qaaTT14AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=Ugw5U8aKrkZC1qaaTT14AaABAg
23,,"Muhammad Haidar Yasyfin","2021-01-02 03:08:41",0,no,no,"Masuk 10 sepatu terbaik 2020 ga nih? wkwk",UC840EglNuJk1sqS2JN82ALg,UgzZZU1EjKVUOwyDhdh4AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=UgzZZU1EjKVUOwyDhdh4AaABAg
24,,"friandi 11","2021-01-02 03:17:05",0,no,no,"Kyrie low 3 bang",UC2AqjR5Ka8Opie7thWN2QZg,UgzUHUGL-oGM1jWjhsx4AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=UgzUHUGL-oGM1jWjhsx4AaABAg
25,,"Ryan Damar","2021-01-02 03:18:42",1,no,no,"Next, D rose 11",UCvtFHESRjnEkWKrLOIO_0rg,UgxpaDT_wIzN011TW1V4AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=UgxpaDT_wIzN011TW1V4AaABAg
26,,Fadilah,"2021-01-02 03:24:05",2,no,no,"Review performace sepatu signature jimmy butler dong min biar gk penasarana mah beli nya hhe",UCFhCb8wOh7KM0YpZtFUptng,UgzuCWJA23Pvnym29jZ4AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=UgzuCWJA23Pvnym29jZ4AaABAg
27,,"Yhoyhong P","2021-01-02 03:24:48",0,no,no,"WOW 8 Liberty kak",UCzudQFZIE8s4Jnbpa5ga2TA,UgxL5LqfRPs912w3QYZ4AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=UgxL5LqfRPs912w3QYZ4AaABAg
28,,"Vicky satria leo Vicky satria irawan","2021-01-02 03:27:54",7,no,no,"Harden vol 5 jangan lupa",UCd6YQTTMAgkd0cQKejWLAVQ,UgyoOD5Hh9C9NpSMh3l4AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=UgyoOD5Hh9C9NpSMh3l4AaABAg
29,,aye,"2021-01-02 03:37:47",0,no,no,"kybrid s2 dong penasaran banget pgn beli",UCzZBn41JE3HVf8z4q0suHnQ,UgxVPN0eS-cV_BNHTPB4AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=UgxVPN0eS-cV_BNHTPB4AaABAg
30,,"Brenkz Cahyo","2021-01-02 03:41:01",0,no,no,"sehat terus mas bon .",UCVBTkwB-GUjQU4H9fsxvmDQ,Ugz_FPpyQjPTthunB_p4AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=Ugz_FPpyQjPTthunB_p4AaABAg
